disease,symptom_1,symptom_2,symptom_3,symptom_4
Diabetes,,blurred vision,,frequent urination
Pneumonia,sweating,,,difficulty breathing
Typhoid,,headache,high fever,
Acid Peptic Disease,indigestion,loss of appetite,vomiting,heartburn
Dengue,nausea,vomiting,,
Diabetes,frequent urination,unexplained weight loss,blurred vision,fatigue
Anemia,,,chest pain,weakness
Migraine,vomiting,,dizziness,
Anemia,chest pain,weakness,fatigue,headache
Dengue,severe headache,,rash,
Gastroenteritis,vomiting,stomach pain,diarrhea,headache
Dengue,muscle pain,,high fever,nausea
Diabetes,,unexplained weight loss,,fatigue
Migraine,,headache,vomiting,sensitivity to sound
Malaria,sweating,,,vomiting
Viral Fever,chills,sweating,fever,fatigue
Diabetes,extreme hunger,,fatigue,
Allergy,sneezing,rash,indigestion,shortness of breath
Asthma,cough,difficulty breathing,shortness of breath,
Migraine,headache,nausea,sensitivity to sound,blurred vision
Diabetes,,unexplained weight loss,blurred vision,fatigue
Migraine,,shortness of breath,nausea,dizziness
Hypertension,headache,shortness of breath,blurred vision,chest pain
Viral Fever,mild cough,chills,,headache
Migraine,headache,nausea,vomiting,sensitivity to light
Common Cold,fatigue,sore throat,headache,weakness
Viral Fever,,,body ache,fatigue
Hypertension,shortness of breath,blurred vision,nosebleeds,chest pain
Dengue,severe headache,high fever,,joint pain
Dengue,,,rash,muscle pain
Asthma,fatigue,cough,shortness of breath,difficulty breathing
Dengue,vomiting,,rash,joint pain
Gastroenteritis,,fever,diarrhea,stomach pain
Asthma,,shortness of breath,wheezing,cough
Typhoid,stomach pain,diarrhea,weakness,loss of appetite
Diabetes,extreme hunger,frequent urination,,
COVID-19,difficulty breathing,fatigue,cough,fever
Gastroenteritis,,muscle ache,,fever
COVID-19,loss of taste,cough,fatigue,muscle pain
Acid Peptic Disease,nausea,vomiting,,heartburn
Hypertension,,dizziness,shortness of breath,nosebleeds
Typhoid,weakness,rash,,headache
Common Cold,cough,,sore throat,fatigue
Migraine,,headache,sensitivity to sound,
Anemia,,dizziness,,fatigue
Anemia,pale skin,chest pain,loss of taste,cold hands and feet
Pneumonia,,,fatigue,difficulty breathing
Anemia,,nosebleeds,fatigue,headache
Asthma,shortness of breath,cough,chest pain,fatigue
Anemia,headache,cold hands and feet,pale skin,dizziness
Diabetes,frequent urination,blurred vision,fatigue,increased thirst
Hypertension,blurred vision,,,chest pain
Migraine,nausea,blurred vision,headache,sensitivity to light
Diabetes,extreme hunger,blurred vision,unexplained weight loss,frequent urination
Pneumonia,,,sweating,cough
Dengue,vomiting,nausea,severe headache,muscle pain
Migraine,,vomiting,headache,sensitivity to sound
Dengue,high fever,vomiting,severe headache,rash
COVID-19,,,fever,difficulty breathing
Gastroenteritis,diarrhea,headache,muscle ache,
Gastroenteritis,joint pain,fever,vomiting,diarrhea
Pneumonia,sweating,cough,difficulty breathing,
COVID-19,loss of taste,fatigue,,
Acid Peptic Disease,,indigestion,vomiting,stomach pain
Viral Fever,fever,sweating,,
Malaria,,chills,,muscle pain
Viral Fever,headache,mild cough,fatigue,body ache
Allergy,sneezing,runny nose,cough,
Migraine,nausea,headache,sensitivity to sound,vomiting
Acid Peptic Disease,vomiting,stomach pain,,indigestion
COVID-19,,cough,,fever
Viral Fever,,fever,headache,mild cough
Viral Fever,fever,body ache,mild cough,stomach pain
Pneumonia,fatigue,,,sweating
Asthma,difficulty breathing,,cough,shortness of breath
Common Cold,sore throat,headache,congestion,runny nose
Pneumonia,,sweating,,difficulty breathing
Hypertension,nosebleeds,,chest pain,
Pneumonia,cough,fever,,
Gastroenteritis,vomiting,,headache,
Allergy,cough,,,itchy eyes
Gastroenteritis,,fever,diarrhea,vomiting
Gastroenteritis,diarrhea,,muscle ache,headache
Diabetes,unexplained weight loss,extreme hunger,fatigue,pale skin
Diabetes,unexplained weight loss,extreme hunger,blurred vision,fatigue
Asthma,cough,wheezing,fatigue,difficulty breathing
Migraine,,headache,nausea,blurred vision
Asthma,difficulty breathing,,wheezing,
Gastroenteritis,nausea,pale skin,fever,headache
Pneumonia,fever,sweating,,cough
Typhoid,stomach pain,,rash,diarrhea
Migraine,,nausea,blurred vision,dizziness
Common Cold,congestion,sore throat,runny nose,headache
Anemia,chest pain,weakness,pale skin,
Common Cold,runny nose,sore throat,congestion,nosebleeds
Gastroenteritis,,nausea,muscle ache,headache
Dengue,runny nose,severe headache,vomiting,
Allergy,rash,sneezing,,
Allergy,runny nose,itchy eyes,sneezing,cough
Hypertension,shortness of breath,dizziness,headache,chest pain
Malaria,nausea,,,headache
Diabetes,,extreme hunger,increased thirst,
Acid Peptic Disease,stomach pain,nausea,loss of appetite,vomiting
Pneumonia,sweating,chills,difficulty breathing,chest pain
Pneumonia,,,difficulty breathing,fever
Diabetes,,frequent urination,,increased thirst
COVID-19,fatigue,,difficulty breathing,
Acid Peptic Disease,stomach pain,loss of appetite,,vomiting
COVID-19,fever,fatigue,loss of taste,nausea
Anemia,chest pain,,pale skin,weakness
Anemia,diarrhea,,pale skin,headache
COVID-19,fatigue,loss of smell,,cough
Allergy,cough,itchy eyes,rash,sneezing
Common Cold,fatigue,congestion,sore throat,runny nose
Asthma,,difficulty breathing,chest pain,cough
Diabetes,blurred vision,,,fatigue
Malaria,nausea,,,sweating
Dengue,rash,vomiting,muscle pain,severe headache
Hypertension,blurred vision,nosebleeds,,
Migraine,dizziness,sensitivity to light,,blurred vision
COVID-19,loss of taste,fever,difficulty breathing,muscle pain
Malaria,headache,fever,vomiting,sweating
Acid Peptic Disease,vomiting,stomach pain,indigestion,heartburn
Acid Peptic Disease,nausea,,indigestion,loss of appetite
Typhoid,weakness,loss of appetite,diarrhea,high fever
Dengue,,nausea,vomiting,
Dengue,muscle pain,,high fever,
Migraine,headache,sensitivity to light,blurred vision,vomiting
Allergy,runny nose,cough,shortness of breath,sneezing
Dengue,,joint pain,rash,high fever
Typhoid,headache,rash,,
Anemia,headache,dizziness,,
Viral Fever,fever,chills,,
Hypertension,chest pain,dizziness,shortness of breath,headache
Acid Peptic Disease,loss of appetite,,,nausea
Hypertension,dizziness,headache,blurred vision,chest pain
Pneumonia,,chest pain,cough,chills
Viral Fever,mild cough,chills,sweating,body ache
Asthma,chest pain,cough,difficulty breathing,
Pneumonia,chest pain,sweating,difficulty breathing,chills
Typhoid,high fever,rash,loss of appetite,headache
Migraine,,blurred vision,sensitivity to light,
Asthma,chest pain,,wheezing,fatigue
Allergy,runny nose,,sneezing,itchy eyes
Anemia,chest pain,,fatigue,
Anemia,pale skin,cold hands and feet,weakness,chest pain
Migraine,blurred vision,nausea,headache,dizziness
Pneumonia,cough,chest pain,chills,fever
Gastroenteritis,vomiting,,muscle ache,
COVID-19,,cough,difficulty breathing,
Migraine,,nausea,dizziness,
Asthma,,wheezing,cough,fatigue
Asthma,,wheezing,cough,shortness of breath
Asthma,cough,,difficulty breathing,
Hypertension,blurred vision,chest pain,,nosebleeds
Common Cold,,,congestion,cough
Allergy,rash,,cough,
Typhoid,diarrhea,high fever,loss of appetite,
Malaria,headache,sweating,chills,muscle pain
Pneumonia,,,fever,difficulty breathing
Pneumonia,,,cough,chills
Anemia,,chest pain,,weakness
Viral Fever,headache,,,mild cough
Diabetes,extreme hunger,,increased thirst,unexplained weight loss
Diabetes,blurred vision,fatigue,extreme hunger,unexplained weight loss
Gastroenteritis,muscle ache,vomiting,diarrhea,stomach pain
Allergy,,sneezing,itchy eyes,shortness of breath
Acid Peptic Disease,,,stomach pain,indigestion
Asthma,fatigue,chest pain,difficulty breathing,shortness of breath
Diabetes,,fatigue,increased thirst,unexplained weight loss
COVID-19,muscle pain,fever,loss of smell,
Anemia,weakness,fatigue,chest pain,pale skin
Pneumonia,chest pain,chills,cough,fever
Viral Fever,mild cough,dizziness,body ache,
Hypertension,dizziness,blurred vision,headache,shortness of breath
Gastroenteritis,,fever,muscle ache,nausea
Viral Fever,fever,,fatigue,chills
Asthma,shortness of breath,fatigue,,chest pain
Gastroenteritis,stomach pain,vomiting,,
Dengue,nausea,high fever,vomiting,severe headache
COVID-19,,loss of smell,fever,
COVID-19,difficulty breathing,,fever,
Viral Fever,fever,sweating,mild cough,chills
Malaria,nausea,muscle pain,vomiting,sweating
Anemia,cold hands and feet,headache,cough,weakness
Dengue,,rash,high fever,joint pain
Viral Fever,fatigue,,headache,
Malaria,headache,vomiting,nausea,chills
Anemia,pale skin,weakness,headache,chest pain
Migraine,,sensitivity to light,,sensitivity to sound
Hypertension,nosebleeds,,chest pain,
Allergy,shortness of breath,,itchy eyes,cough
Hypertension,shortness of breath,dizziness,headache,chest pain
Allergy,itchy eyes,shortness of breath,rash,runny nose
Viral Fever,severe headache,body ache,chills,mild cough
Malaria,fever,sweating,,headache
Gastroenteritis,stomach pain,headache,,
Hypertension,headache,shortness of breath,blurred vision,nosebleeds
Malaria,sweating,,nausea,chills
Typhoid,loss of appetite,weakness,,diarrhea
Typhoid,rash,,headache,
Acid Peptic Disease,indigestion,,stomach pain,nausea
Anemia,,headache,,cold hands and feet
Typhoid,diarrhea,headache,stomach pain,
Migraine,headache,sensitivity to light,sensitivity to sound,nausea
Migraine,sensitivity to sound,headache,vomiting,dizziness
Dengue,nausea,,,joint pain
COVID-19,,loss of smell,fever,fatigue
Gastroenteritis,headache,nausea,,
Hypertension,headache,sneezing,nosebleeds,blurred vision
Pneumonia,sweating,,chest pain,
Common Cold,,sore throat,,fatigue
Acid Peptic Disease,stomach pain,,,loss of appetite
Diabetes,,,blurred vision,extreme hunger
Malaria,chest pain,nausea,muscle pain,chills
Hypertension,headache,nosebleeds,,chest pain
Dengue,,severe headache,vomiting,high fever
Gastroenteritis,,fever,diarrhea,stomach pain
Hypertension,blurred vision,shortness of breath,,
Viral Fever,chills,,sweating,
Diabetes,fatigue,unexplained weight loss,frequent urination,nosebleeds
Common Cold,runny nose,,,headache
Allergy,rash,runny nose,itchy eyes,sneezing
Pneumonia,chest pain,fever,,chills
Diabetes,frequent urination,increased thirst,fatigue,blurred vision
Common Cold,cough,,fatigue,runny nose
Malaria,muscle pain,,fever,sweating
Malaria,chills,nausea,sweating,fever
Diabetes,unexplained weight loss,frequent urination,increased thirst,fatigue
Typhoid,,weakness,stomach pain,
Hypertension,blurred vision,nosebleeds,dizziness,shortness of breath
Dengue,joint pain,severe headache,high fever,muscle pain
Anemia,cold hands and feet,pale skin,,headache
Migraine,,dizziness,sensitivity to light,headache
COVID-19,loss of smell,frequent urination,,muscle pain
Diabetes,unexplained weight loss,increased thirst,extreme hunger,blurred vision
Hypertension,headache,nosebleeds,blurred vision,dizziness
Dengue,vomiting,rash,joint pain,muscle pain
Viral Fever,stomach pain,headache,,mild cough
Common Cold,cough,fatigue,headache,congestion
Acid Peptic Disease,nausea,vomiting,stomach pain,indigestion
Typhoid,weakness,headache,high fever,diarrhea
Typhoid,stomach pain,rash,,diarrhea
Pneumonia,,cough,chills,fever
Viral Fever,sweating,,,body ache
Viral Fever,fatigue,,body ache,mild cough
Typhoid,unexplained weight loss,,rash,headache
Migraine,sensitivity to sound,,blurred vision,sensitivity to light
COVID-19,difficulty breathing,muscle pain,loss of smell,fever
Malaria,,vomiting,sweating,
Typhoid,weakness,headache,diarrhea,stomach pain
Migraine,blurred vision,nausea,vomiting,sensitivity to sound
Migraine,dizziness,sensitivity to light,,sensitivity to sound
COVID-19,muscle pain,cough,loss of taste,fatigue
Common Cold,,,headache,cough
Gastroenteritis,,headache,nausea,muscle ache
Gastroenteritis,vomiting,stomach pain,,
Common Cold,sneezing,congestion,runny nose,headache
COVID-19,muscle pain,loss of taste,cough,fever
Malaria,chills,nausea,muscle pain,headache
Malaria,fever,,vomiting,muscle pain
Migraine,nausea,blurred vision,headache,sensitivity to light
Common Cold,sore throat,fatigue,headache,
Anemia,headache,cold hands and feet,fatigue,pale skin
Allergy,rash,cough,shortness of breath,runny nose
Common Cold,congestion,,,headache
COVID-19,loss of smell,,fever,
COVID-19,fever,muscle pain,,difficulty breathing
Viral Fever,headache,mild cough,,
Allergy,itchy eyes,cough,runny nose,shortness of breath
Anemia,weakness,,pale skin,dizziness
Typhoid,,weakness,diarrhea,rash
Acid Peptic Disease,stomach pain,vomiting,,indigestion
Allergy,rash,runny nose,itchy eyes,sneezing
Anemia,pale skin,,fatigue,dizziness
Viral Fever,mild cough,headache,sweating,fatigue
Typhoid,diarrhea,,high fever,headache
Malaria,,nausea,vomiting,muscle pain
Migraine,,blurred vision,headache,vomiting
Diabetes,blurred vision,unexplained weight loss,extreme hunger,
Allergy,,cough,itchy eyes,rash
Asthma,difficulty breathing,wheezing,cough,
Typhoid,weakness,,loss of appetite,diarrhea
Dengue,rash,severe headache,vomiting,weakness
Asthma,,fatigue,difficulty breathing,
Diabetes,,,fatigue,extreme hunger
Common Cold,fatigue,congestion,headache,runny nose
Anemia,headache,pale skin,,cold hands and feet
Gastroenteritis,vomiting,,fever,muscle ache
Typhoid,high fever,loss of appetite,stomach pain,diarrhea
Acid Peptic Disease,fatigue,indigestion,nausea,heartburn
Diabetes,extreme hunger,unexplained weight loss,increased thirst,frequent urination
Allergy,runny nose,cough,itchy eyes,sneezing
Pneumonia,cough,,,chills
Viral Fever,,,body ache,fatigue
Diabetes,,increased thirst,itchy eyes,frequent urination
Asthma,,chest pain,shortness of breath,fatigue
Gastroenteritis,muscle ache,stomach pain,fever,nausea
Malaria,sweating,muscle pain,headache,vomiting
COVID-19,loss of taste,difficulty breathing,,
Diabetes,extreme hunger,unexplained weight loss,,
Allergy,,cough,runny nose,
COVID-19,loss of taste,difficulty breathing,fatigue,
Anemia,,fatigue,,chest pain
Viral Fever,fatigue,body ache,,
Common Cold,sore throat,fatigue,sneezing,runny nose
Asthma,wheezing,,cough,
Gastroenteritis,diarrhea,,fever,muscle ache
Common Cold,sneezing,congestion,cough,fatigue
Acid Peptic Disease,,indigestion,stomach pain,
Diabetes,,blurred vision,,frequent urination
Gastroenteritis,stomach pain,diarrhea,vomiting,nausea
Acid Peptic Disease,,heartburn,stomach pain,
Diabetes,unexplained weight loss,sensitivity to sound,frequent urination,increased thirst
Anemia,dizziness,pale skin,,fatigue
Acid Peptic Disease,vomiting,indigestion,stomach pain,nausea
Gastroenteritis,fever,vomiting,nausea,stomach pain
Viral Fever,sweating,congestion,mild cough,headache
Anemia,chest pain,pale skin,,cold hands and feet
Allergy,sneezing,,rash,
Viral Fever,,sweating,fever,fatigue
Gastroenteritis,diarrhea,headache,,stomach pain
Viral Fever,,sweating,,mild cough
Viral Fever,sweating,fever,,body ache
Hypertension,,chest pain,dizziness,nosebleeds
Gastroenteritis,stomach pain,headache,diarrhea,
Pneumonia,,sweating,fever,
Asthma,wheezing,fatigue,chest pain,difficulty breathing
Anemia,pale skin,weakness,dizziness,increased thirst
Typhoid,stomach pain,rash,high fever,headache
COVID-19,fatigue,,fever,loss of taste
Malaria,,fever,chills,vomiting
Migraine,increased thirst,nausea,headache,sensitivity to light
Gastroenteritis,diarrhea,fever,nausea,vomiting
Viral Fever,sweating,,fever,mild cough
Pneumonia,cough,sweating,,chills
Pneumonia,,fatigue,cough,
Pneumonia,,difficulty breathing,chills,
COVID-19,fatigue,loss of smell,,difficulty breathing
Hypertension,headache,,,chest pain
Allergy,runny nose,cough,,rash
COVID-19,loss of smell,,,fatigue
Gastroenteritis,,muscle ache,diarrhea,
Allergy,,runny nose,,itchy eyes
Gastroenteritis,muscle ache,diarrhea,headache,nausea
Diabetes,increased thirst,,fatigue,
Typhoid,,,rash,stomach pain
Viral Fever,sweating,headache,,
Asthma,cough,chest pain,fatigue,
Diabetes,increased thirst,fatigue,extreme hunger,blurred vision
Common Cold,headache,,runny nose,cough
Typhoid,weakness,high fever,stomach pain,headache
Malaria,vomiting,sensitivity to light,chills,
Allergy,cough,runny nose,rash,shortness of breath
Diabetes,unexplained weight loss,extreme hunger,blurred vision,
Gastroenteritis,vomiting,headache,,nausea
Pneumonia,cough,fatigue,chest pain,
Malaria,chills,sweating,fever,muscle pain
Allergy,,cough,sneezing,
Gastroenteritis,diarrhea,headache,nausea,muscle ache
Hypertension,,headache,,blurred vision
Malaria,fever,muscle pain,nausea,vomiting
Viral Fever,mild cough,sweating,body ache,headache
Anemia,pale skin,fatigue,,chest pain
Gastroenteritis,nausea,stomach pain,,diarrhea
Asthma,difficulty breathing,cough,chest pain,wheezing
Hypertension,,,nosebleeds,shortness of breath
Diabetes,unexplained weight loss,,extreme hunger,frequent urination
Viral Fever,mild cough,,sweating,muscle pain
Asthma,chest pain,,shortness of breath,cough
Pneumonia,fever,fatigue,chest pain,chills
Viral Fever,chills,,,body ache
Hypertension,dizziness,,,headache
Common Cold,runny nose,headache,sneezing,
Asthma,difficulty breathing,cough,shortness of breath,fatigue
Malaria,fever,vomiting,,chills
Pneumonia,cough,chills,difficulty breathing,fever
COVID-19,fever,body ache,difficulty breathing,loss of smell
Pneumonia,chest pain,cough,difficulty breathing,chills
Pneumonia,difficulty breathing,,,chills
Asthma,,difficulty breathing,wheezing,
Common Cold,headache,runny nose,,
Viral Fever,body ache,headache,sweating,fatigue
Malaria,vomiting,muscle pain,nausea,headache
Common Cold,fatigue,congestion,,sore throat
Hypertension,,nosebleeds,,shortness of breath
Gastroenteritis,muscle ache,,,fever
Migraine,,headache,sensitivity to light,dizziness
Pneumonia,sweating,itchy eyes,fatigue,cough
Viral Fever,,chills,fatigue,fever
Migraine,headache,,vomiting,sensitivity to light
Diabetes,increased thirst,extreme hunger,frequent urination,fatigue
Acid Peptic Disease,vomiting,,,nausea
Allergy,sneezing,cough,rash,
Pneumonia,cough,,chills,sweating
Acid Peptic Disease,heartburn,loss of appetite,stomach pain,nausea
Asthma,shortness of breath,difficulty breathing,wheezing,cough
COVID-19,loss of taste,muscle pain,,loss of smell
Anemia,dizziness,headache,,
Acid Peptic Disease,heartburn,,nausea,loss of appetite
Acid Peptic Disease,,stomach pain,loss of appetite,
Typhoid,weakness,,headache,diarrhea
Common Cold,,runny nose,headache,congestion
Common Cold,cough,,,congestion
Pneumonia,fever,chills,,difficulty breathing
Common Cold,cough,sore throat,headache,congestion
Pneumonia,,fever,cough,difficulty breathing
Asthma,,,cough,fatigue
Asthma,,,cough,difficulty breathing
Dengue,joint pain,severe headache,rash,muscle pain
Gastroenteritis,vomiting,headache,diarrhea,fever
Asthma,difficulty breathing,chest pain,,wheezing
Gastroenteritis,,headache,,diarrhea
Viral Fever,chills,body ache,,sweating
Pneumonia,chest pain,difficulty breathing,,cough
Diabetes,blurred vision,increased thirst,frequent urination,extreme hunger
Allergy,,,sneezing,itchy eyes
Allergy,,shortness of breath,,runny nose
Allergy,indigestion,runny nose,itchy eyes,cough
Anemia,chest pain,,,dizziness
Asthma,cough,wheezing,,fatigue
COVID-19,,loss of smell,cough,
Allergy,cough,,itchy eyes,sneezing
Common Cold,headache,sore throat,congestion,cough
Diabetes,extreme hunger,fatigue,,
Common Cold,runny nose,sneezing,sore throat,cough
Typhoid,weakness,,diarrhea,shortness of breath
COVID-19,,loss of taste,muscle pain,
Asthma,wheezing,chest pain,cough,fatigue
Common Cold,congestion,cough,sneezing,sore throat
Dengue,high fever,nausea,vomiting,severe headache
Dengue,,rash,high fever,
Gastroenteritis,,nausea,diarrhea,headache
Dengue,severe headache,,joint pain,
Hypertension,blurred vision,dizziness,,
Hypertension,headache,,blurred vision,
Gastroenteritis,,,diarrhea,stomach pain
Common Cold,sore throat,congestion,headache,runny nose
Common Cold,fatigue,congestion,sneezing,sore throat
Hypertension,headache,,nosebleeds,
Malaria,,chills,fever,
Dengue,nausea,muscle pain,vomiting,joint pain
Typhoid,headache,high fever,stomach pain,
Allergy,sneezing,,cough,
Dengue,severe headache,joint pain,,high fever
Pneumonia,cough,difficulty breathing,fatigue,chest pain
Pneumonia,difficulty breathing,fatigue,fever,
Gastroenteritis,fever,,muscle ache,
Asthma,shortness of breath,difficulty breathing,fatigue,chest pain
Hypertension,headache,,blurred vision,
Dengue,vomiting,severe headache,,joint pain
Gastroenteritis,nausea,,,muscle ache
Asthma,difficulty breathing,fatigue,chest pain,cough
Allergy,itchy eyes,,,cough
Allergy,itchy eyes,sneezing,shortness of breath,rash
Pneumonia,chills,fatigue,sweating,chest pain
Malaria,sweating,fever,chills,
Viral Fever,fever,fatigue,,chills
Migraine,,vomiting,sensitivity to light,sensitivity to sound
Anemia,dizziness,weakness,chest pain,pale skin
Pneumonia,chills,sweating,cough,fatigue
COVID-19,cough,loss of taste,fatigue,difficulty breathing
Migraine,vomiting,headache,nausea,dizziness
Gastroenteritis,,muscle ache,nausea,headache
Common Cold,runny nose,sore throat,fatigue,cough
Allergy,sneezing,runny nose,,rash
Diabetes,blurred vision,muscle ache,extreme hunger,unexplained weight loss
COVID-19,loss of taste,muscle pain,fatigue,
Asthma,fatigue,shortness of breath,chest pain,blurred vision
Typhoid,loss of appetite,headache,weakness,high fever
Common Cold,congestion,runny nose,sore throat,
Allergy,cough,shortness of breath,itchy eyes,sneezing
Pneumonia,difficulty breathing,,sweating,
Malaria,,muscle pain,sweating,vomiting
Acid Peptic Disease,nausea,stomach pain,loss of appetite,indigestion
Dengue,,high fever,vomiting,severe headache
COVID-19,fatigue,muscle pain,,loss of taste
Dengue,muscle pain,,,high fever
Typhoid,wheezing,diarrhea,loss of appetite,headache
Common Cold,,cough,headache,
COVID-19,cough,muscle pain,fatigue,
Asthma,,wheezing,fatigue,cough
Typhoid,weakness,rash,,loss of appetite
Asthma,wheezing,nosebleeds,chest pain,difficulty breathing
Malaria,fever,,sweating,chills
Anemia,fatigue,chest pain,,weakness
Anemia,weakness,chest pain,cold hands and feet,fatigue
Common Cold,sore throat,sneezing,headache,cough
Common Cold,runny nose,cough,headache,sore throat
Anemia,fatigue,weakness,cold hands and feet,headache
Pneumonia,cough,chest pain,fatigue,fever
COVID-19,difficulty breathing,fatigue,loss of taste,loss of smell
Anemia,blurred vision,weakness,cold hands and feet,chest pain
Asthma,chest pain,wheezing,,shortness of breath
Anemia,,fatigue,dizziness,weakness
Migraine,,sensitivity to sound,nausea,sensitivity to light
COVID-19,,muscle pain,difficulty breathing,
Common Cold,runny nose,congestion,fatigue,
Hypertension,,shortness of breath,,blurred vision
Migraine,headache,vomiting,,blurred vision
Malaria,nausea,fever,vomiting,sweating
Asthma,fatigue,shortness of breath,wheezing,chest pain
Asthma,cough,wheezing,shortness of breath,difficulty breathing
Anemia,weakness,,,pale skin
Diabetes,frequent urination,fatigue,increased thirst,unexplained weight loss
Anemia,pale skin,,fatigue,headache
Pneumonia,cough,chills,,
Dengue,,nausea,high fever,muscle pain
COVID-19,loss of taste,cough,fatigue,muscle pain
Diabetes,unexplained weight loss,increased thirst,blurred vision,frequent urination
COVID-19,loss of smell,,loss of taste,
Gastroenteritis,muscle ache,fever,sweating,stomach pain
Malaria,fever,nausea,muscle pain,
Common Cold,sneezing,cough,,congestion
Asthma,,difficulty breathing,fatigue,wheezing
Malaria,muscle pain,headache,vomiting,fever
Hypertension,headache,chest pain,shortness of breath,
Malaria,fever,,,muscle pain
COVID-19,fever,fatigue,muscle pain,
Diabetes,frequent urination,fatigue,extreme hunger,
COVID-19,loss of taste,,difficulty breathing,
Diabetes,increased thirst,fatigue,,extreme hunger
Anemia,cold hands and feet,dizziness,fatigue,
Typhoid,high fever,rash,diarrhea,loss of appetite
Typhoid,stomach pain,rash,weakness,
Viral Fever,sweating,headache,fatigue,fever
Asthma,chest pain,shortness of breath,cough,wheezing
Migraine,headache,nausea,vomiting,dizziness
Dengue,muscle pain,,,rash
Viral Fever,chills,headache,body ache,mild cough
Acid Peptic Disease,,stomach pain,loss of appetite,
Diabetes,extreme hunger,,,unexplained weight loss
Anemia,,chest pain,,cold hands and feet
Diabetes,fatigue,increased thirst,extreme hunger,blurred vision
Malaria,,fever,headache,
Gastroenteritis,vomiting,,diarrhea,
Pneumonia,chest pain,sweating,difficulty breathing,fatigue
Anemia,pale skin,weakness,cold hands and feet,headache
Allergy,rash,sneezing,shortness of breath,runny nose
Diabetes,extreme hunger,frequent urination,,increased thirst
Hypertension,,headache,,chest pain
Typhoid,loss of appetite,stomach pain,,high fever
Common Cold,fatigue,,congestion,fever
Hypertension,dizziness,shortness of breath,blurred vision,
Acid Peptic Disease,nausea,indigestion,heartburn,loss of appetite
Viral Fever,,sweating,mild cough,
Common Cold,congestion,sore throat,,sneezing
Acid Peptic Disease,loss of appetite,heartburn,indigestion,nausea
Anemia,headache,pale skin,fatigue,weakness
Allergy,itchy eyes,rash,,cough
Anemia,,fatigue,pale skin,chest pain
Common Cold,congestion,headache,cough,fatigue
COVID-19,,fatigue,cough,loss of smell
Allergy,rash,shortness of breath,itchy eyes,sneezing
Malaria,nausea,fever,,
Asthma,fatigue,cough,,shortness of breath
Gastroenteritis,stomach pain,nausea,headache,vomiting
Malaria,vomiting,,fever,nausea
Pneumonia,difficulty breathing,cough,fatigue,chills
Pneumonia,difficulty breathing,,chills,fatigue
Hypertension,blurred vision,headache,shortness of breath,nosebleeds
Anemia,,cold hands and feet,dizziness,fatigue
COVID-19,cough,,difficulty breathing,
Dengue,nausea,severe headache,vomiting,
Common Cold,cough,headache,itchy eyes,sore throat
Typhoid,headache,weakness,high fever,loss of appetite
Acid Peptic Disease,indigestion,heartburn,,stomach pain
Common Cold,,headache,sneezing,congestion
Common Cold,sore throat,headache,fatigue,congestion
Typhoid,high fever,,loss of appetite,stomach pain
Anemia,fatigue,headache,,
Asthma,cough,difficulty breathing,fatigue,wheezing
Diabetes,,,blurred vision,extreme hunger
Anemia,fatigue,,chest pain,pale skin
Gastroenteritis,nausea,vomiting,diarrhea,muscle ache
Typhoid,weakness,high fever,diarrhea,headache
Allergy,runny nose,,sneezing,
Malaria,headache,nausea,,
Diabetes,,frequent urination,blurred vision,fatigue
COVID-19,,,fever,loss of smell
COVID-19,,loss of taste,,cough
Acid Peptic Disease,vomiting,,indigestion,nausea
Dengue,rash,severe headache,muscle pain,
COVID-19,,loss of taste,,loss of smell
Asthma,,,chest pain,wheezing
Common Cold,rash,runny nose,,sneezing
Migraine,blurred vision,body ache,dizziness,headache
Viral Fever,,,sweating,fever
Anemia,fatigue,weakness,chest pain,
Anemia,dizziness,high fever,,cold hands and feet
Malaria,headache,nausea,sweating,chills
Acid Peptic Disease,vomiting,loss of appetite,heartburn,nausea
Dengue,,,rash,muscle pain
Pneumonia,chills,cough,chest pain,fever
Acid Peptic Disease,heartburn,indigestion,stomach pain,nausea
Allergy,rash,cough,sneezing,itchy eyes
Anemia,,pale skin,headache,
Gastroenteritis,vomiting,diarrhea,muscle ache,stomach pain
Dengue,muscle pain,joint pain,,
Acid Peptic Disease,heartburn,indigestion,,
Dengue,nausea,,high fever,
Hypertension,,headache,dizziness,shortness of breath
Dengue,severe headache,high fever,vomiting,rash
Diabetes,fatigue,frequent urination,extreme hunger,unexplained weight loss
COVID-19,cough,fatigue,difficulty breathing,muscle pain
Dengue,joint pain,vomiting,nausea,severe headache
Typhoid,stomach pain,headache,loss of appetite,weakness
Dengue,,,vomiting,rash
Malaria,muscle pain,,,chills
Allergy,runny nose,itchy eyes,rash,cough
COVID-19,loss of taste,muscle pain,fatigue,cough
Common Cold,fatigue,,,congestion
Allergy,itchy eyes,,shortness of breath,runny nose
Malaria,sweating,muscle pain,chills,vomiting
Allergy,,runny nose,,sneezing
Common Cold,congestion,,runny nose,
Migraine,sensitivity to light,blurred vision,sensitivity to sound,
Anemia,weakness,headache,pale skin,
Gastroenteritis,fever,nausea,headache,muscle ache
Dengue,muscle pain,,,severe headache
Allergy,rash,itchy eyes,,
Typhoid,loss of appetite,headache,high fever,weakness
Acid Peptic Disease,nausea,stomach pain,indigestion,loss of appetite
Asthma,wheezing,cough,difficulty breathing,chest pain
Allergy,itchy eyes,,cough,sneezing
